row,col,leg 1 angle,leg 1 color,leg 2 color,leg 3 color,center color
1,1,90,1,1,1,-1
3.0,1.0000000000000002,-90,-1,1,-1,-1
11,1,90,-1,-1,1,-1
13.0,1.0000000000000002,-90,-1,-1,-1,-1
10.0,2.7320508075688767,-330,-1,-1,-1,-1
1,11,90,1,-1,-1,-1
3.0,11.0,-90,-1,-1,-1,1
11,11,90,-1,-1,1,-1
13.0,11.0,-90,1,-1,-1,1
10.0,9.267949192431123,-210,1,-1,-1,-1
10.0,12.732050807568877,-330,-1,-1,1,1
